names,teams,leagues,positions,jersey_numbers,goals,assists,yellow_cards,red_cards,shots,shots_og,saves,clean_sheets,goals_against,photo_urls,heights,weights,birthdates,nationalities
Meleana Shim,NJ/NY Gotham FC,nwsl,N/A,13,0,0,0,0,3,1,0,0,1,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\9\14/Mana_Shim.png,"5' 4""",N/A,1991-09-25T07:00Z,USA
Jasmyne Spencer,Angel City FC,nwsl,N/A,3,1,0,1,0,13,2,0,1,7,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Jasmyne_Spencer_001.jpeg,"5' 1""",N/A,1990-08-27T07:00Z,USA
Sophie Jones,Chicago Red Stars,nwsl,N/A,16,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Sophie_Jones_002.jpeg,"5' 5""",N/A,2001-07-17T07:00Z,USA
Jenna Nighswonger,NJ/NY Gotham FC,nwsl,N/A,32,3,0,4,0,30,10,0,4,16,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Jenna_Nighswonger_001.jpeg,"5' 10""",N/A,2000-11-28T08:00Z,USA
Reyna Reyes,Portland Thorns FC,nwsl,N/A,2,1,0,0,0,2,1,0,0,10,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\7\13/USATSI_20396569.jpg,"5' 5""",N/A,2001-02-16T08:00Z,Mexico
Diana Ordoñez,Houston Dash,nwsl,N/A,11,3,0,0,0,33,11,0,3,13,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\22/Diana_Ordonez_002.jpeg,"5' 11""",N/A,2001-09-26T07:00Z,Mexico
Scarlett Camberos,Angel City FC,nwsl,N/A,15,0,3,0,0,22,5,0,0,10,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\7\13/camberos.jpg,"5' 6""",137 lbs,2000-11-20T08:00Z,Mexico
Madelyn Desiano,Houston Dash,nwsl,N/A,31,0,0,0,0,1,0,0,0,0,N/A,"5' 6""",N/A,2000-02-18T08:00Z,USA
Izzy D'Aquila,Portland Thorns FC,nwsl,N/A,24,0,0,0,0,16,4,0,0,6,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Izzy_DAquila_001.jpeg,"5' 7""",N/A,2001-09-08T07:00Z,USA
Rebecca Holloway,Racing Louisville FC,nwsl,N/A,25,0,1,2,0,0,0,0,2,8,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Rebecca_Holloway_002.jpeg,"5' 6""",N/A,1995-08-25T07:00Z,Northern Ireland
